Question	Potentially_Pejorative
第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。	Potentially
当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。	Potentially
性取向都扭曲了的人怎么会觉得恶心呢😓	Potentially
精神科医生好久不见我是反同二局的	Potentially
哈哈雀食，上大人果然都是你这样😄	Potentially
钓鱼的吧，除非让你全家女性照顾黑人	Potentially
我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。	Potentially
对啊，好看的很多的都是混血	None
提啥？我已经不考虑母的	Potentially
本来我们才是白种人，被西方丑化才被说成是黄祸	Potentially
这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！	Potentially
反串一律水葬	None
这贴看的我鸡皮疙瘩起来了	None
这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道	Potentially
作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立	Potentially
其实没啥的，就是炮友吗，艾滋病毒多点而已	Potentially
结婚纯累赘	Potentially
黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。	Potentially
真想不到这人居然还在！	None
到时候好看的妹妹一个不剩，剩下的全是重型坦克	Potentially
害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了	Potentially
选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄	Potentially
直接规定新法，嫁给外国人，自动失去中国国籍。	Potentially
不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了	Potentially
不要随意评论。毕竟大家都是人，你的评论会伤害到别人。性取向是别人的自由。请你善良	None
我嫌弃他们丑😅	Potentially
告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病	Potentially
如果你已经不会听风就是雨，那么说明你成熟了	None
你可以不给，她可以不嫁，很公平啊	None
美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语	Potentially
这个索玛女王不是被曝是男的么，专门收国外的钱，然后挑拨国内性别对立。	Potentially
吧里没落了	None
地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣	Potentially
省都没出过几次，你就不要说话了好吧！最基本的人文地理知识都缺乏😆	None
这有一条公狗，鸡奸这个鸭子啊	Potentially
说的好，生动代表了河南人那股聪明劲	None
唐山也被骂的好惨😭	Potentially
看来非洲真是未来人口增长的主动力。	Potentially
毕竟国外对这事比较放得开，老外都说中国女留学生比本地女人更开放	Potentially
世界女权组织，这名听着就吓人	None
没有广西吗？	None
犹太人凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化。	Potentially
很好，以其人之道还治其人之身，可惜某些人却要倒贴黑	Potentially
放心吧正常男人不会喜欢黑女的	Potentially
虽然说美女也有概率感染，但我还是选美女	Potentially
为啥是回民和东北人会被黑啊？	Potentially
可以说，以上的地域歧视只能说是略有夸大。但是几乎全部都有事实依据。要真是空穴来风根本不可能流传开来。	None
你是个什么逻辑，臆想别人喜欢你?	None
娶N婚也不能要和黑人处过的啊	Potentially
难道不是小孩贫血，好心人献血过多，改变了血型吗?	None
你这心态不行啊，经济基础决定上层建筑么不是，河南省要是在东南沿海你看谁敢多说一句？🙂北方嘛，说那么多没什么意义，什么好的坏的，你看黑吉辽那一亿人还不是被黑的裤子都穿不上？	Potentially
普通女生无罪，有罪的是一开始男扮女装挑起性别对立的键盘侠	Potentially
美国现在已经被白左占领了，还好中国不是这样	Potentially
反正我遇见的河南人都还不错	None
这个赞太少了点吧。	None
花呗干什么的	None
这人老挠弹了，之前就被人举报封过，大过年又出来发病了	None
关键是辨别不出来，要是媚黑在身上纹一个黑桃就方便了	Potentially
没必要纠结这么多，我敢说99.9%的女性都是想为自己的丈夫生孩子的，如果你要是遇到0.1%，那就是你自己的问题了，话说我只想要一个孩子，我老婆想要两个。	None
你这加一起四舍五入没有黑天津的多	Potentially
很难不赞同，不过补充一点，杨靖宇将军是河南的，本名马尚德，驻马店的骄傲🍉	None
个人感觉浙江比苏南上海友好非常多，实地都去过	None
湖北也跑了	None
你比苏维埃联盟还要牢不可破	None
谁说你了，给自己加这么多戏	None
我帮你，我浴霸六级	None
所以 就更该学日本人，啥都没有，踩雷了损失也不大。	Potentially
我就是湖南人呀，你们讨厌我们，我们湖南人还讨厌你，你以为你是谁啊！我们湖南人大部分都是好人，热情好客，包括我自己也是。有本事你一辈子别来湖南！！！	Potentially
姆蛆好恶心?	Potentially
逐字逐句看完，有一个观点我有一点反对意见，异性之间的行为符合人伦天道	None
我沈阳人，我当兵的时候好多战友都是黑龙江富拉尔基的，我们相处的一直很好，我还想以后去哈尔滨定居，不用因为少数低素质人就敌视整个地区。	None
看来女光棍对社会危害性确实非常大	Potentially
你去抖音弄个黑人身份，就会有女的私信你	Potentially
王者荣耀要做的速速，在大厅发消息，一个人，一分钟3条，10分钟30一小时180条！每条0.2，时薪36！！不限量，而且发出去就算进扣扣群	None
浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它	Potentially
各位我错了，不该编故事，小管家威胁我，必须删帖子，取匿并道歉，故事虽然是假的，但是这种现象肯定是常态。我应该戳破女拳的痛处了，得罪人了。小管家中有女拳，匿名编故事骂男人抹黑男人没事。但是匿名编故事说女人的实话就不可以。就必须出来澄清。我错了，暂时退乎，请不要人肉我的单位。我是开玩笑的，惹不起原答案删了，另外一个答案也删了	Potentially
真实，也是情理之中，就像大家在网上呼吁不要歧视艾滋病人一样，生活中遇到真艾滋病人都会自动走开	Potentially
黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方	Potentially
大家把我帖子多宣传，我们开发出可以使黑人的古龙水发臭的东西在黑人聚集地发散开，或者给中国女人们使用或者佩戴，保证黑人们一个都混不下去。	Potentially
可见全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪是它们身体内必不可少基因之一	Potentially
一般人都怼东北吧😅。有些东北人不是搞不清，他就是直说江浙沪，所以最近被打脸打太厉害硬造了一个江南系，我也不知道是说谁。。。	Potentially
太爽了，打死这帮乱咬人的女拳	Potentially
B站奇趣蛋双标现场	Potentially
跟这个没关系，主要是80年代，河南是全国小偷各地集团的汇聚中心，因为当时铁路为主，而河南是全国铁路交汇的枢纽，小偷最多，导致河南名声被连累，	None
动物都有同性恋，人类能没有？😅多读书，别读死书	None
因为牛奶和巧克力都挺好吃的	None
崇洋媚外本身就是一种种族主义，这种行为不也是看皮肤说事么？他们有啥资格指责别人？	Potentially
rush，增加kuai感的	None
所以他是gay，然后跑到反同群里面开盒，是这样吗？还是你们是....	Potentially
知乎的三观很正，所以我喜欢这里	None
支持正义劲夫	Potentially
我靠真能下得去手啊，我去主校区的时候也见过几个又黑又肥又丑看不清脸，可能是我的学校太好了女生都挺保守的，没听说也没看见哪个女生和黑人谈恋爱😅	Potentially
没办法我天生的改不了	None
左白舔功令人作呕	Potentially
其他的都不说，为她去非洲生活点赞，別赖在中国，中国不需要黑族	Potentially
你说的河南人偷井盖才是无关紧要的，都带调侃的味道，但广东是在文化，族群等方面被黑，你别混淆视听，各种社区贴吧用户进去知乎，用户质量素质越来越低，各种地域黑，粤黑会越来越多	Potentially
是不是吧里这些nt贴都是阿娜发的？	Potentially
有趣啊，和没道德的不用讲道德是吧，和我们讲什么道德？我学历不高，但知道平权本身是道德高地，被你学历歧视给拉到道德洼地对不对啊	Potentially
我是高贵的中国人	None
人不能总是被动防守，应该想办法主动进攻……我觉得，咱们应该跟黑人妹子交往。有没有谁知道，哪里能遇到黑人妹子呀？	Potentially
👍️ 金庸大师，诚不我欺啊	None
我们没有说胖，我们只是想说摄像头买小了，用13mm超广角镜头拍摄也没能拍全这位的月佥	Potentially
小汪汪没基佬危害大	Potentially
大家反通的原因是什么捏？①通讯录很多是孃泡，举止钕性化，造成反感②认为通讯录会染艾，就算现在不会以后也会得③通讯录反yxl④通讯录反自然⑤就是觉得通讯录ex如果有一位txl三观举止正常，不蓝交，不反异，不为txl发声，安静活着，8u们还会觉得这人ex吗？	Potentially
还是我们的子女好看，白白的精致	None
我不懂那么多花里胡哨的大道理，我就是单纯的歧视黑人。😓	Potentially
唉，不得不说彼此都任重道远啊	None
我也厌女现在越来越讨厌了	Potentially
陕西不算，高贵的陕西人只会黑甘肃人，如果自己做了丑事就会甩锅给甘肃庆阳人跟天水人，反正这两群人也不认为自己是甘肃人。	Potentially
穷黑龙江也不是最穷的	None
也不是完全说是背锅 如果是大城市 北京上海 广州你去问老一辈确实很多外地穷的地方来的，加上八九十年代改革开放和华北东北工人失业潮，大批劳工南下经商，很多社会问题，然后老一辈就把这种印象传下来，然后接着有，不过现在没了，我很好奇现实中早已作古的地域黑，怎么网上一见一个有	Potentially
外娶你就不制造黑娃了? 外娶外嫁不是重点啊, 黑娃是重点, 你要娶个黑妹白妹, 能别回来吗? 至少别把你的孩子带回中国.	Potentially
你猜出国的人什么嘴脸？	Potentially
她们也就知道几个娘炮了，你说对吧彦祖	Potentially
一个有正常工作生活的人根本没那精力天天发这种帖子，这玩意估计也是靠这个赚钱的	None
建议这个幕狗自己买车差点忘了，幕狗连车轮子都买不起	Potentially
我寻思人长得帅的也看不上你啊⁉	None
自己女儿如果交往黑人，那就要反思是不是自己没教好了👍️	Potentially
不区分，不和作的，爱占便宜的女性玩。很简单啊，看说话方式就很好区分了	Potentially
这垃圾酒，喝他妈	None
租借女友可以拜托相亲烦恼，每次回去都换一个，久而久之父母就放弃了。	None
总结一句话 北方太大了人口众多感觉长的都一样操着原味国语，东北三省更是北方代表，南方人则强调地域的独特性。整体来看南方并不如北方团结😅	Potentially
普信女真恐怖。兄弟们去网曝她。	Potentially
如果馆内没有他们的同类异性他们当然不会去寻找异性。	Potentially
上海属于被反噬	Potentially
这比在竞选新吧宠的路上，大家理解一下，给他一个机会好好表现。毕竟不是人人都可以享受集全吧宠爱于一身。	None
在东北上学，对这里普遍印象很好，但一部分群体，莫名的有种害怕？	None
说实话，我认识的苏北男生多数确实不想和他相处。	Potentially
巴不得巴不得你们男的都去找机器人，不要碰女的我看到你们就恶心！	Potentially
不管在任何平台看到有中国人跟黑人结婚的，就告诉他他们的孩子一辈子会遭到歧视，父母都是爱孩子的，他们听了这个话会受到很大的打击	Potentially
你男的女的？回答全离不开“国男”两个字，这就纯粹故意引战啊	Potentially
可惜真正嫁出去的绝大部分找到都是外国瘪三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？	Potentially
山东热衷于考公务员，不属实？	None
🤣🤣🤣确实内斗严重，天天看苏南苏北互喷	Potentially
异性恋不需要你尊重啊，这是世界上每个生物正常的生物本能。	None
真的有那么生气吗，我不信😆	None
你可以看一下这个，这证明了我所言非虚	None
哪个小野冢转了爹的帖子啊，也不进来磕个头	None
可能因为河南同学比他高了一百分🤣🤣🤣心理不平衡	None
值得批判！我不明白为什么人种没有生殖隔离呢？爱美之心人皆有之！一白遮百丑！美白，美白，美听说过美黑的。没见过黑人去选美的。	Potentially
这个国家同婚合法吗	None
对号入座了，茶壶嘴破防了，戳到痛处了心脏不好的都来我这接种预防针	Potentially
中国这么多人，啥样人都有，脑袋灵光的女性更是大有人在的🤝	None
女生我更不想了。。。苏北男的当街打老婆我亲眼目睹	Potentially
带头的属于是恰烂钱的，跟风的就是铁nt	None
东北人表示赞同??	None
这么说吧，如果男人连自己女人智商正常都无法保证，那么一切都是自食其果	Potentially
女拳男能不能414阿？	Potentially
不管你咋说，我不喜欢非洲黑人，男人 ，也没怎么看到中国男人搞黑人 倒是在某些网站上看到不少某些中国女人被黑人玩	Potentially
都是些没人要的钼刃在网上翻天覆地	Potentially
婚恋不可能平等	None
你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。	Potentially
努力是假的吧我看他天天钓鱼	None
同性恋不过是一种性癖而已，有什么可歌颂的。如果真要这样的话，是不是也该把恋物pi，恋tong癖，恋shou癖，恋shi癖歌颂一下？	Potentially
阎王老子来了 我就是种族内个歧视了🐶帽子我自己带好	Potentially
广西的桂柳地区长相跟全国其他地区差异不大，其他地区，嗯，就典型的岭南长相。	Potentially
亩枸还能叫得动，恰恰说明我们还不够暴力太过同情奥。我们承诺，往后将会更加暴力毫无同情，势要打到它全身瘫痪为止	Potentially
猩猩有文化？	Potentially
他家里人也不是好人知道儿子有艾就要他骗婚。道德败坏	Potentially
真的就“最”了？才见过多少。想象过、思考过、体会过就够了，至于高密，谁知道那是个什么地方，如果有天到那，我会想这个名字有点耳熟，这是兴趣的一部分。而不是读完合上书想，高密是吧，太可怕了。二十世纪是吧，太可怕了。人类社会是吧，太可怕了。	Potentially
对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是腐女我也不知道为什么腐女那么多我也很反感腐女的。	Potentially
无论哪个国家的人都是有好有坏	None
我去过南方几乎所有的省，而且不是走马观花式的那种，我是平均在每个省都待了两三个月	None
为什么黑浙江啊	Potentially
同性恋都是群脑子不正常的玩意，看着就反胃	Potentially
孙笑川吧！，现在被，女拳给围攻了，我们应该要帮助他们	Potentially
日本人侵略东北要从1895开始算，东北人抵抗日本侵略至少50年	None
人人平等，人和冻物怎么能平等呢	Potentially
支持，消灭同性恋，反同战士们速速集结	Potentially
不同意同性恋不代表反同性恋	None
南方周末确实很多公知在里面，总说一些地域黑的话	Potentially
我看3楼是友军	None
老僵尸是谁呀？明显是染艾后瘦削的基佬吧，只有艾基肤色才瘦得像僵尸一样	Potentially
其实互相尊重就好了，我们允许你们同性恋的存在，但也允许我们有些异性恋接受不了！这是生理上抗拒的！	Potentially
好奇纹了什么字，默吗	Potentially
当然如果是爱出去乱约的，无论男女都非常的恶心	None
贬低自己国家有什么意思？	None
万一他就是黑黑了	Potentially
我爷爷叔叔都是阿訇，不过我不信教	None
别说男人不喜欢了，我坚决不肯跟黑桃皇后们当闺蜜，熟人也不行，就怕哪天往我杯子里下白粉，逼我上他们的贼船。	Potentially
有个贵物同支持🐔农屠邮，却不知道🐔农也屠同	Potentially
那对等的，把中国人在非洲下的蛋，和他们的非洲妈一起带回国，那才是杠杠的。lee：在非洲的100万中国男人, 到底留下了多少私生子?!	Potentially
一个国家女性的待遇是受男性影响的，如果战争来临，男人都不保女的，落入敌手的女人连牲口的待遇都不会有，这是有前车之鉴的，历史上大小战役，男人死战，哪怕国家沦陷，女人也不会过的太糟糕，但是一旦军队一击即溃，一撤千里，最后那些女人都只有沦为玩物的下场女拳应该庆幸现在不是封建时代，否则必定是凌迟之罚	Potentially
说明你在她心中是供养者，要是a男，耍脾气她是不敢回的	Potentially
所以美国等于全世界？	None
当然，香港不说了，不过台湾是真不冤，台湾黑大陆几十年没断过，现在大陆都还没有黑台湾呢！做的最多的仅仅只是把台湾黑大陆的言论放到了大众面前。互联网上台湾和大陆之间的几乎所有视频都是从台媒那里截取的。	Potentially
自己不理解说别人糊涂，行河南人是全国的祖宗，怪不得你们被黑的厉害。	Potentially
大张伟的《阳光彩虹小白马》我最喜欢的歌	Potentially
确实恶心，做室友很惨。睡觉得把蚊帐锁上。	Potentially
这个大概是学校里几个同学一起约出来玩	None
老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑猩猩劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老窝。	Potentially
嗐，上次还有人跟我诡辩说称北京人为正黄旗不算地域歧视，只能算嫉妒、情绪发泄，我能说啥🤔	Potentially
确实现在她们都开始线上拉客了，男人还得线下赴约	Potentially
只有男女之间相爱才是全身心投入爱才有爱情结晶。你们同性恋的爱情结晶是什么？植物也会开花结果，你们同性恋的爱有什么结果？你们同性恋的爱是没有结果的，你们同性恋啥也不懂啥也不是，你们同婚是没有任何意义没有任何结果的。	Potentially
看片都不看黑人	Potentially
那你应该去放生吧	None
监狱医院？监狱墓地！	None
你来江苏住一段时间就知道了，或者自己在江苏台官网上看江苏新闻节目，最起码七八成是报道南京和江苏的负面新闻(车祸 情感纠纷 哪里环境差之类的)，很少看到表扬的	Potentially
楼主它换名字了	None
那不是废话吗棒女是靠嘴炮、靠动员力，靠政治运动，才有的如今的声势、地位，她们又不像棒男强制兵役接受军事训练。怎么可能在实战上打的过塔利班	Potentially
男性还好，女性是真得小心这种女的。之前有个新闻，一个谈了黑人男友的女1劈腿了，女1为了安慰她的黑人男友，把她闺蜜女2骗到宾馆配合黑人墙键叁批。完事把女2拿刀捅伤后这两还畏罪跳楼。这种女的是没有智商、底线和道德的。	Potentially
同性恋很美好纯洁？呕	Potentially
这个视频比较恶臭	None
抚顺瞧不起大庆…	Potentially
在信仰、价值取向、生活观念、文化认同等方面没有达到一致，无论白人、黑人都是异族；古话说的好：非我族类，其心必异。多看看世界历史上排华、歧华事件，一旦爆发华人在当地就是被掠杀的对象，不要觉得我说的危言耸听，史实就是这样。疫情期间美国那鸟地方不也在歧华？在他们眼里中国人就低人一等，因为他们文化继承里包含着殖民文化带来的种族优越感。	None
不是河北没黑点，是隔壁几个兄弟太强😅	Potentially
这个这个河北没存在感。	Potentially
结婚对男人来讲太亏了，希望男人们都能觉醒，不让女人占便宜，都坚决不结婚	Potentially
国内媚基巴斯坦人的女人是真的多	Potentially
让非处女坦白性史，此方法同样有效，亲测有效🤭	Potentially
这些标子比男人冷血得多，百分之八十都是	Potentially
这就是春晚一个节目跟脱口秀一样是好段子啊我身边的正常女性没觉得有被冒犯啊怎么就有人对号入座石砸狗叫了呢	Potentially
与那些又有什么关系，毕竟性质不同，我们只是互相喜欢，恰好爱上了一个同性的人，我们也很惊讶😑，不是所有同性恋的感情都是那样的	None
微博傻卵玩意废物木人是这样的	Potentially
艾就一个滋😅	Potentially
你赚了，河南男的活好	None
男的看男同主观恶心 女的看女同主观恶心	Potentially
地域黑子出来答话	None
卖钩子的弄啥咧~	None
呵呵，居然是排名103，除去那几个小国，那也就是世界垫底了，而且是世界人民的垫底了。可是，怎么感觉，外国人非常羡慕中国女性啊？！东亚，中国女性排第一；东南亚，中国女性排第一；前苏联地区，中国女性排第一；印度次大陆，中国女性排第一；阿拉伯，中国女性排第一；.非洲，中国女性排第一；南美，中国女性排第一；北美，中国女性排第一；中、南、西欧洲，中国女性排第一；我就纳闷了，除了这些，上哪找103个国家？莫非，是天国里的吗？	Potentially
这样把脑子不好的都输出	None
黑人血统真的太顽固了，哪怕只有四分之一甚至六分之一还全是黑人的影子，说真的看见黄黑小孩比看见纯种黑人还令人难受😅	Potentially
我这么说吧，如果老一辈安徽人是你说的这样，我差不多认同，但现在的安徽人也有三宗罪：遇到问题难用契约精神和讲道理去解决，由于地域问题产生的自卑与仇富，和苏北人一样善于算计和背后耍花招。这三点别不承认，我身边安徽人不多，但我从小到大是遇到过的，我也谈过六安的女朋友，事实就是这样。	Potentially
爱马仕不香么？	None
跪舔的小号，装什么大瓣蒜，连自己是什么东西都不知道？	None
事实就是早期你们异性恋先从动物身上传过来的。	None
河南官方认证	None
怕艾滋病啊，再说了，我会因为她比尺寸而自卑吗😅	Potentially
层主是女性反串的吗	None
问题的来源就是现在女性对社会贡献和地位越来越高，以及女人的脑子蠢p事多	Potentially
扯淡，企业都不要四川人	Potentially
黑**应该被美国全面入侵抹杀	Potentially
不小的群体，你攻击他们去啊，怎么就非得加上一个全部的形容词呢？	Potentially
一般会这么想，竟然真有憨批找黑人	Potentially
魔方基因？一听就不靠谱😆	None
我工作时被河南信阳女客户的素质大跌眼镜。。无语住了。	None
好好好你最棒。	None
圆圈吧出了名的鸡窝都不知道？里面都是卖的还有陪玩的，好多在里明卖。	Potentially
张口闭口说国男不自信，然后发现你自己却不敢坦白？说白了你也不自信。	Potentially
但是人家不会跪着安排豪华宿舍、美女学伴、高额奖金😅	None
那我说异性恋不好，被骂，是不是别人太偏激了？	None
妄图和女人讲道理，自己脑子也有问题	Potentially
你这实实是欺负窑姐儿了——人家窑姐儿接了起码还收钱！	Potentially
你的截图说的很有道理	None
胡说八道，男性都是希望喜欢黑人的都去非洲。而不是变成烂裤子以后伪装找国人接手	Potentially
又黑额们西安似吧？额们西安人都似神！！！！！今晚乡党们出动，给你个瓜怂家房子都偷走	Potentially
我家老人只喜欢看本地台那些八卦消息，而我都是看cctv13	None
我觉得他就是个牺牲品，需要转移视线的时候直接随便曝光一个明星就行了。	None
黑人网红的出现本就是三观不正的体现。	Potentially
你自己自尊自强谁会不尊重你，何来压迫之说。	None
原来这个吧有反虫吧主不过最后就是被跪虫族就整掉然后过家和百毒从此就监管此吧把这个吧弄成无主之地	Potentially
女性基本上连寒暄都不多了，网上个个捍卫女性的恋爱自由——这是不是证明了女权的虚伪？	Potentially
我不能跟你说得太细，因为圈子太小了。我在中资建筑工程公司，然后在非洲前后待过12年。	None
谁没事就会开黑？各省之间人员流动都很正常，为啥就河南人一流动就被黑，还不自己好好反省反省跑这来总结了	Potentially
人造子宫早就80年代就成功，微量偏向化基因改造早就有了，因为阻力无法推行。老龄化的人口结构会逼着政府推行此政策。	None
这明明是个辱华的玩意，没想到还有些nc追捧它。	None
😓😓😓看见了，我早就举报了，这玩意就是最恶心的	None
说实话，她们爱找谁找谁，你别去接盘就行了。	Potentially
立即开启印度模式省得她们作	Potentially
经济重心从唐开始就往南移了，为何你觉得南方比北方穷	Potentially
在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。	Potentially
你就可怜可怜基佬吧。给他两个吃剩的骨头	Potentially
有些女的就喜欢玩新鲜感，认为外国男比郭楠好，墨人有劲还带艾滋，没办法部分女人喜欢😅😅	Potentially
楼主你知道你挂这个人他的真实身份就是曾经被虫类爆过菊花有着一段和虫类及其它们后代不得不谈基情故事	Potentially
你之前说荷兰有多包容同性恋是有问题的	None
刚刚最新收集到的，在中国的土地上这个黑人会不会是非洲国家乌干达的？	None
怎么说，女人是一切罪恶的源头，因为没有女人，大家就不会那么内卷。更没有性冲动什么的，人都没有矛盾。就是因为女人的性蛊惑男人的身心，而是很难去抵抗	Potentially
我是说这个人的性别和这个人的性取向的基因是矛盾的，和性取向基因是否在性染色体无关。而且携带同性恋基因的人按理说应该没有后代了，但是自古以来就存在，说明还有很多潜在被掰弯的人。如果有掰不弯的人，那么我就希望社会支持同性恋，把潜在同性恋掰出来，这样很多年后就没有同性恋了。	Potentially
