Question	Potentially_Pejorative
真的是男人的话都是信不过的,男人呀,说的每一句话都存在怀疑.男朋? 	Potentially
关于女人再次出轨如今女人出轨已经很普遍了，大约有将近一半的女人背 	Potentially
聋哑人多数都很漂亮￥⑩?下午，四??女孩一??男孩由南向北走来。 	None
男人为何比女人色?这是为什么? 	Potentially
男人会介意吗？如果自己的妻子不是处女~ 	Potentially
女人的体香是不是处女才有体香?一年前我对一个女生身上的香味特别有 	Potentially
我打算对女孩隐瞒自己的收入我要是谈恋爱，我将会对女人隐瞒自己的钱 	Potentially
起诉天堂2种族歧视本人实在无聊，特向最高人民法院起诉天堂2违背人 	None
用假的JJ玩女人会快乐吗?有经历的女性请说一下,提倡署名回答,呵 	None
男人,女人男人和女人(打三各民族) 	None
农村来的大学生你是娶农村女孩还是城市女孩？我是从农村出来的本科生 	Potentially
世界上的民族哪些人种聪明?排出名次.像日尔曼人,大和民族,美利坚 	Potentially
男人是不是都很小气？ 	Potentially
这个世界上，到底是穷人养活了富人，还是富人养活了穷人？ 	Potentially
太强悍的女生通常都会惨遭抛弃吗？…… 	Potentially
台湾为什么要独立?台湾跟大陆统一了成为了一个国家不是更有利于台湾 	Potentially
为什么黑人不歧视白人 	Potentially
请男人们回答，你会娶一个离异的女人吗？她才24岁，结婚5个月就离 	Potentially
男人是如何识别是否处女的，我想问问？为什么男人一和女人发生关系，? 	Potentially
我是一个在大城市上大学的外地人，在宿舍老是受当地学生的欺负。请问? 	Potentially
请女人回答！当和女人口交时你们的感受是什么啊？我和女友在一起住的 	Potentially
女人对男人的最大容忍程度是多少呢？如果你们中女方是大男子五岁的即 	None
美国从事农业的人口的确很少，农场主是本国人，干活的多是外籍劳工，? 	Potentially
男人要找有心计的作老婆还是比较简单善良的？男人找老婆，一种是比较 	Potentially
为什么大学女生都这么贱我接触的女生99%都是这样 	Potentially
为什么中国人比较喜欢大声喧哗很多时候，喧哗的总是华人。很多时候， 	Potentially
内裤不是红色的男人素质品味修养都很低？红色代表热情，当代年轻人最 	Potentially
请28岁以上女性回答28到48岁的女性，喜欢强壮有肌肉型的男人吗 	Potentially
自杀者都是懦夫吗？ 	Potentially
女人人过中年后，就注定要永失性的快乐吗？以前我丈夫是很爱做那事的 	None
怎样避免遇到娼妓？现在社上会有很多的妓女，而我最怕遇到那些妓女。 	None
如果你在公交车上有陌生老太或老头很邪恶很凶的眼神看着你好像很看不? 	Potentially
事业多男人到底有多重要？女人看男人的第一标准是事业还是外表？我是 	Potentially
10大最欠抽的人(魔力中)1，骗子。放弃自尊，任人唾骂，论不要脸 	None
结婚后发现不是处女一定离婚吗?我是处男,呵呵.别说别的,什么骂人 	Potentially
女朋友的小外甥品性太差,他向谁都吐口水拿东西砸人,还骂人.这是不? 	Potentially
女人们,男人摸你们的阴道时,你们喜欢手指插吗? 	None
为什么漂亮姑娘都跟有钱的丑男人现在社会怎么那现实啊`~漂亮的女人 	Potentially
为何女人讨厌个子矮的男人 	Potentially
有点抠的男生你能接受吗我不喜欢太抠的男生但是他偏偏是这种类型的我 	None
请男生进来,你们是不是都很绝情我很想知道,你们是不是都一样的绝情 	Potentially
女人真正的归属在哪里最近因为家务事感觉女人难做，要带孩子，要上班 	Potentially
男友在女友面前说别的女子很漂亮。　　如果男友在女友面前毫不顾忌的 	Potentially
他欺骗我感情，我很不甘心！恨透那些脚踩两船的臭男人了!他在追我的 	Potentially
印度不牛，有个巴基斯坦就能让他永远起不来。还老是把咱当竞争对手， 	Potentially
你妈的黑客我黑你妈卖批你们为了钱连你妈姓什么都不知道了狗日的黑客 	Potentially
关于台F的三重失,在台F是不是老牛X啊我看他们打到一个老高兴了在 	None
三个男人，人生选择，？我这人，很老实心善，心肠软，比较单纯，缺少 	None
男人是不是都有洛丽塔情结？是不是都喜欢纯真的少女？成熟男人和少女 	Potentially
对男人来说，女人美丽是一种负担。你认为是吗？我问我的网友，你的女 	Potentially
纵观我们周围的女人有几个不是胸大度小的？有几个能做到彼此尊重欣赏? 	Potentially
什么是贱人？怎么对付？贱人，就是你对他们越好，他们越看不起的人么 	Potentially
不是处女可以从哪些方面看出？我想请问些有经验的人士，不是处女在日 	Potentially
男人不坏，女人不爱，男人怎么坏，女人才会爱？ 	Potentially
男人为什么满足不了她？女人结婚两年了她的性欲越来越强烈，水也是非 	Potentially
城市大学生嫁给县城大十岁的男人，这个男人对我是应付，一直在意前妻? 	None
女人最在乎的真的是钱吗?我和我女朋友是在外地读书认识的,学校恋爱 	Potentially
女孩长的丑就让人讨厌么？为什么不管是男孩还是女孩都喜欢和长的漂亮 	Potentially
日本人与韩国人如何看待中国人？？？几乎99.9%的中国人对日本人 	Potentially
男人真是会这样吗？我的一个结了婚的女朋友跟我说，让我一定要和男朋 	Potentially
为什么这个女大学生要日本男人[原文引述]:我是一个上海女大学生， 	Potentially
我以前交过一个男朋友是这样的``以前他是个很花心的人我也是`但是? 	None
这样的男人,你们见过吗?一个离过婚的男人,68年的,不是特别有钱 	Potentially
女士请回答女人做爱，喜欢JJ粗的还是喜欢长的？看图片老外的都很长 	Potentially
体育课那么容易破坏女性的处女膜吗? 	Potentially
世界为什么这么无情啊!现在这个世界变得那么无情.有钱有势的人多的 	Potentially
白痴	None
请问城市里的女性，你们觉得女人洗屁股是否是羞耻的或者有伤风败俗？ 	Potentially
男人都好色吗？男人是不是都认为别的女人比自己的老婆漂亮？ 	Potentially
请男士朋友回答以下谢谢如果一个女人说一个男人为什么总是不能认真地 	Potentially
为什么男人都那么坏？？　　	Potentially
男人打女人会改么？我第一次挨打是跟他处了2年的时候我承认那次是我 	Potentially
不是处男了，还能得到女人的真爱吗？不是处男了，还能得到女人，尤其 	Potentially
你讨厌那些超女？全部讨厌！都是错误的存在！ 	Potentially
阴毛和腋毛多的女人是不是性欲很强？ 	Potentially
我国中奖为什么蒙面太吓人了外国中奖都是大大方方滴公开没有不见滴人 	Potentially
这样的女孩，像是处女么？她是个在校生，样子一般，2本学校的高才生 	Potentially
她提出分手后我怎么办或许女人是善变的，本来她答应嫁给我了。但是一 	Potentially
吵架、闹别扭和男朋友认识一年了，经常会因为一点小事顶嘴，闹别扭， 	Potentially
什么样的人？“弱弱的问一声”，一般这样说话的人会是怎样的呢？请从 	Potentially
女人为什么甘愿被坏男人骗呢？女人不喜欢好男人，喜欢流里流气的痞子 	Potentially
农村出来的女孩子请进我一个女性朋友，也是我同事是农村出来的有一次 	Potentially
中国的民主自由和人权怎样呢？比起香港台湾差多远啊啊 	Potentially
一个重要的问题女士们：请问什么样的女人性欲比较强烈，什么样的女人 	Potentially
如果世界上只剩了女人人的性染色体分XX(女)和XY(男)两种,卵 	Potentially
家庭暴力者是不是心里有疾病，情绪一上来，就控制不住，就打老婆，砸? 	Potentially
假如穷人和有钱人犯同样的罪量刑会一样吗？有钱人可以请个好律师保护 	Potentially
为什么现在的女人这么现实了？没房没车就不跟你好，！ 	Potentially
一般漂亮女人是不是脾气不好?美女是不是都有些小姐脾气? 	Potentially
丑死了，战士就是唱大戏的；法师就是裹布老头、老太；道士就是蚕蛹！? 	Potentially
你想做幸福女人还是不幸福女人？女人分为两种，一种是幸福的女人，一 	Potentially
妓女是不是好容易传播疾病？现在社会做妓女的好多，而且也有很多年轻 	Potentially
這?拥呐笥眩矣悬c??祂是三年前追我，由于??r?W?任?蛰 	None
男人是春是夏是秋是冬？男人如秋，从青涩走向成熟慎读秋天，如读男人 	Potentially
同样是中国人为什么外地人要比本地人多交电费的！怎么会有这么不公平? 	Potentially
非处女还会全心全意爱上一个男人吗我今年28，我女朋友比我大一岁， 	None
我来告诉你如何做坏人？抢小孩子的棒棒糖？那是低端坏人做的事情～！ 	None
现在的男人还在乎另一半是不是处女吗？请各位男士如实回答。 	Potentially
请真正的男人回答是真正的男人就说老实话，当男人喜欢另一个女人的时 	Potentially
玩弄一个女人的肉体，和玩弄她的感情，哪个伤她更深？常常看到一些女 	Potentially
老婆被别人骚扰怎么办？和老婆认识7年了，从来没觉得老婆这么陌生过 	None
还是处女有可能吗？？？？我女友（处女）二年前和她的前任男友（处男 	None
如何去要求男人交家用一定能达到女人的目的但又不伤害感情从恋爱至结 	Potentially
禁止大声喧哗	None
拒绝回答弱智问题的进这里有些人老是提些弱智问题，你说讨厌不讨厌我 	None
请问，男人是不是都喜欢婚外情呢？看看身边的人，特别是男人身边总是 	Potentially
农村女孩要不得？看到我哥我嫂的生活我就为我哥惋惜，我表哥一线城市 	Potentially
女人善良吗？古人说，唯女子与小人难养也。我的一个同事（女）也告诫 	Potentially
河南人不可怕为什么在外地，鄙视河南人河南人，打工不要河南的。干什 	Potentially
女性喜欢男人的阴毛浓密又长吗或者男人是不是也喜欢女性的Ｂ毛浓密黑 	Potentially
论部落战士种族撇开技术和装备~我只想知道从种族天赋上来看兽人和亡 	None
男人会和一个自己不喜欢的人kiss吗？男人和女人不一样，男人先性 	Potentially
男友条件太好，让我感到有危机感。我是高中毕业的，现在在工作了。男 	Potentially
我乘公交车被女人摸屁股啊~昨天和一个朋友去吃东西~乘公交车的时候 	Potentially
男人介意找一个不是处女的女朋友吗如果一个男人发现自己的女友不是处 	Potentially
仗着英语看不起人,甚至欺压人的人不忠不孝:卖弄什么英语?是不是中? 	Potentially
我的婆媳关系象候中鱼刺我老公是广东人，我是江苏人，我婆婆不喜欢我 	Potentially
我的初恋就献给了一个不是处女的女人，首先我的第一次也给了他。我真? 	Potentially
好男人宁可单身也不要坏女人，不能被坏女人糟蹋。好男人如果接受坏女 	Potentially
日本人为什么这么坏？日本人是野蛮的民族,人类的败类呀!全球人类的 	Potentially
男人的性话题……你有过几个女人？她们的BB有什么不同吗？如松紧程 	Potentially
为什么生孩子是女人的专利，男人什么时候可以生孩子？？？ 	Potentially
请姐妹们回答男人就是贱咱看谁拿的住谁？你是真不想找我吗？我就不信 	Potentially
你怎么看待处女感觉周围的女孩一个个地失处，感觉22岁之后的女孩9 	Potentially
男人!你们更爱钱,还是更爱人?现在有很多漂亮女孩为了钱嫁给有钱的 	Potentially
他会体外射精是不是处男？ 	Potentially
这是所谓的男人本性吗?世界上有三样东西不能相信：男生的承诺、男生 	Potentially
女人在安全的情况下会有和陌生的男人做爱刺激一下的想法吗？我２０岁 	Potentially
男女结婚，女方城市户口，男方农村户口，户口落在哪男方要变城市户口 	Potentially
男生的恋爱烦恼经常听女生说，好男人要温柔体贴，只爱她一个，有责任 	None
早上路过复旦，看见一长相普通，气质平平，身上无高价值物件的男生骑? 	Potentially
不该花钱给捡来的女孩读大学我有一个捡来的妹妹，在我眼里始终不是亲 	Potentially
怎么对付吃软怕硬人物？某些人就是爱欺负软弱人（新进员工和对她说话 	Potentially
太帅的自卑说起来大家肯定觉得我诱斗了吧，，更不相信，，那大家就当 	Potentially
为什么不吧所有犯罪分子统统枪毙中国人这么多他们出来也不会好更加仇? 	Potentially
被已婚男人看中是谁的错？被一个看中不出奇，被很多已婚男人看中是谁 	Potentially
女性虚拟公寓里面的女人都很开放吗？我听很多朋友说女性虚拟公寓里面 	Potentially
男人喝醉后的话是不是都是假的唉呀,真是气死我了,气死人了,我爸昨 	Potentially
女性和多个男性性交容易得什么病？我有一个妹妹喜欢和不同的男性做爱 	Potentially
女人没有男人活不了？男人可以没有女人，但是女人绝对不能没有男人？ 	Potentially
男人最不能容忍女人的什么？女人最不能容忍男人的欺骗，那么男人最不 	Potentially
???女的提出分手﹐男的要是?喜?g?Ψ降脑????勇?系﹐? 	None
女人怎么那么自私啊好多女人很自私呢，怎么这么自私啊。 	Potentially
感到很难过女孩子都对那些游手好闲，油嘴滑舌的人感兴趣，而那些踏踏 	Potentially
女人是茶叶？前几天，看到一段美国前总统里根夫人南希的话：“女人就 	Potentially
男人会介意自己的女朋友或老婆比自己学历高吗我是一个高学历的女生， 	Potentially
大家觉得国米丢脸么？意甲霸王在欧冠技不如人，就跟小流氓一样，踢不 	Potentially
中国会向日本鬼子道歉吗？反之，日本会向中国道歉吗？日本鬼子应跪下 	Potentially
重男轻女的父母我是九零后，是家里的长女。为什么我的父母；老是叫我 	Potentially
尼日利亚放弃了吗？踢肯尼亚都踢不过？ 	Potentially
占领希腊的罗马人为什么没有变成希腊人满族大多变成了汉族，占领希腊 	Potentially
男生学英语为什么不如女生学的好在我们班,男生背英语不如女生一半儿 	Potentially
你的女朋友值多少钱？？某个综艺目现场，女主持人气势咄咄地问一个男 	Potentially
你会如何对待如此犯贱的前女友我和男朋友感情很好，每次吵架基本上都 	None
没志气的男人什么样？女幽喜欢没志气的男人吗？ 	Potentially
女人没有男人重感情是很明显的去婚介所的主要是女人，原因是女人把婚 	Potentially
如果现在的日本和越南一样贫穷，有的中国大陆人还会哪样仇恨他们吗？ 	Potentially
是不是所有的男人都认为和她成不了恋人连朋友都没得做了，更不要说见? 	Potentially
中国对马来西亚：胜平只在一线之间中国队只要打出血性，像个男人一样 	None
请问男士口交和正常性交哪个感觉更好一点请问男士,你们是感觉口交舒 	Potentially
上海人排外问题好多上海本地人不也都给外地人打工吗？上次去上海，可 	Potentially
为什么粤方言遭到两广以外的人的敌视？我发现一个现象：两广以外的人 	Potentially
阴茎拔起了,但是暂时没女人在旁边,可不可以拿一个假皮具女人作代替? 	Potentially
你会和一个大女人做爱吗？如果有一个男孩由于一些工作问题逃避了自己 	Potentially
女上男下真的能?蜓娱L性交?r間??各位﹐我?暮芏喾矫嬉?到過關 	None
当今凡是有过男朋友的女孩子大部分都不是处女了么？ 	Potentially
男人都说兄弟比女人重要，为什么不都去搞基。。。兄弟比女人重要 	Potentially
请问有没有男光女糙的说法？我是一个女孩子，各方面在别人看来还算不 	Potentially
为什么女人不能当众放屁为什么男人可以当众放屁，女人就不可以，只能 	Potentially
面对歹徒劫色的N种假设....1、以暴制暴飞起一脚，踢其要害。有 	None
现在到底是男人贱还是女人贱？TMD每天听女人骂我们男人花心多情， 	Potentially
老是生活在女人堆里怎么办?从小学到大学都是女老师教.所学专业偏偏 	Potentially
女孩子请近你们会不会喜欢上一个残疾人而且是个盲人　会不会想跟他过 	Potentially
为什么都说男人好色？而不说女人好色？ 	Potentially
"怎么看待关于明星""台独”言论的谣言？据我所知。那会不是老说SHE "	Potentially
女人都是小气的吗？我女朋友常常我说错一句话就会生气或吃醋，所以我 	Potentially
中国人只会享受科技带来的成果.....所有的发明都是洋人发明,你 	Potentially
黄种人与黑种人为什么黑种人的身体素质比黄种人好那么多呢，NBA里 	Potentially
当豪杰真幸福看看啊，YOYO真照顾豪杰，不让豪杰花钱买包，多照顾 	None
为什么女人都是莫名其妙的？我觉得女人多数都不会控制情绪。 	Potentially
男人喜欢女人穿着丝袜和高跟鞋作爱吗？ 	Potentially
为什么男人学驾驶比女孩快？在驾校学车的时候发现男人学车普遍比女人 	Potentially
男人做时有什么心理和生理感受，会让很多人冒着犯罪的危险？女人又有 	Potentially
小三者难道都是女人的错吗？难道女人一定要变坏才有钱吗？作为小女人 	Potentially
阴毛多的女人好还是无毛阴毛的好我有过两个女朋友，一个是阴毛特别浓 	Potentially
韩国出了兰博基泥杂我门不出啊人家要出宝马X6和奔驰E澳迪R8跑车 	None
男人都怕看到女孩子哭吗？男人在看到自己喜欢和不喜欢的女孩子哭，分 	Potentially
请成熟男人回答！请所有成熟男人谈谈，你们对待爱情的态度和对待女友 	Potentially
学文科的男生会变质吗？我想从事文科，可是每次看到文科班男生那么少 	Potentially
“疯”言“疯”语系列之三十六男人的“例假”！成年人都知道，女人成 	None
女人们回答，如果强奸你的人强迫你给他口交，你会咬下他的阴茎吗？ 	None
一般一个女人和几个男人做过爱？上次在杂志上看到平均一个女人和19 	Potentially
社会问个现实的问题，为什么女人为了钱可以做任何事？ 	Potentially
为嫁有钱人抛弃穷男友前男友家很穷,压力很大,当初大学里只因为我太 	Potentially
请问各位长者？女人的阴道形状是不是长的都不一样，和那种形状的女人 	Potentially
处女情节在男人心里到底有多重？总以为现在社会人们可能可以接受女人 	Potentially
为什么男人总是显得很懒惰呢, 	Potentially
内什么，那些年关于五仁月饼的传说。。。。“是谁干的！为什么要糟蹋 	None
城市人和农村人的致命区别我知道写这篇贴子，会被很多人骂，不过无所 	Potentially
你是怎样看待男性趋于女性化？男不男女不女的，反而让女孩喜欢，本人 	Potentially
女人的下面都有味吗?男人面对这种味道是怎么想的?是不是每一个女人 	Potentially
沉思:为何当今社会还有被拐妇女?在火车站,或街上找工时...她们 	None
脾气不好的女人怎么对付我和我女朋友恋爱半年了，可是她是个很强势的 	None
上海的台湾人怎么这么多呢?大家生活中都有很多台湾人对吧,可以说说? 	Potentially
（恋爱笑话）经典男人这辈子挺难的：找个漂亮女人吧，太操心，找个不 	Potentially
为什么女人不是和男人一样想和每个女人做爱？男人，女人，性爱 	Potentially
男人是如何看待自己的第一次的？总是常听说很多女人在乎自己的第一次 	Potentially
男人不坏,女人不爱? 	Potentially
怎样能让男人更消魂？我是女人，想学些做爱技巧，在床上，女人怎样做 	Potentially
我做了别人的情人，该怎么办我27岁，三年前一个40岁的男人以前单 	None
同样是中国人的比赛，解说员的倾向性为什么会那么明显呢？转一段网友 	Potentially
为什么男女不平等？女生可以穿吊带装，无袖衫，男生却连篮球服也不能 	Potentially
男人真的都好色吗我们女人见了美女也是看一下，可是看到男友看美女的 	Potentially
男朋友喜欢和我说他以前女朋友的事情我和他在一起纯属偶然，说的不好 	None
如果女人做了对不起男人的事，男人打女人对吗？男人很爱女人，可女人 	Potentially
男人喜欢姐姐还是妹妹？依靠还是被依靠？男人的本质是想保护别人还是 	Potentially
如果男朋友没有承担家务的意识，怎么办？我男朋友是一个大男子主义者 	Potentially
结婚后的女人结婚了，可我感觉她变了很多。没有结婚的时候她是个又懂 	Potentially
当无法沟通时。。我和男朋友是生活在完全不同的环境中，他是生意人。 	None
在何种情况下，一个男人会放弃一个完全可以到手的性交机会？当然，这 	None
去相亲遇到一个很丑的男人真的很丑,第一次会遇到这么丑的男人!他是 	Potentially
是不是男人对于容易追到的女孩都认为轻浮？对于男人来说，如果开始认 	Potentially
请问中国哪些地方的女子最开放，性能力最强？ 	Potentially
现在北京的女孩是不是都很势力啊？？？？？交个朋友可真难？？？？ 	Potentially
大家说说对处女的看法？以下是我在转载的网上的文章。男人找个处女当 	Potentially
谁知道?哄鄙霸谀模坑惺裁垂怀的芄ィ? 	None
为什么大部分女人都是小心眼儿？爱瞎猜疑 	Potentially
为什么女人在和男人有过第一次后身上的味道就会改变在也没有处女时的 	Potentially
