uncertainty	topics_地域	topics_少数民族	topics_种族文化	topics_性别	topics_性傾向	topics_身心障碍	topics_职业教育	topics_宗教	topics_其他	idx
1.0	0	0	0	1	0	0	0	0	0	qid_4176797925108561422
1.0	0	0	0	1	0	0	0	0	0	qid_8527291058635854193
1.0	0	0	0	1	0	0	1	0	0	qid_1918596719719906116
1.0	0	0	0	1	0	0	0	0	0	qid_1510023513904435607
1.0	0	0	0	1	0	0	0	0	0	qid_1447104042640058623
1.0	1	0	1	1	0	0	0	0	0	21528
1.0	1	0	0	0	0	0	0	0	0	qid_2553636560060815799
1.0	0	0	0	1	0	0	0	0	0	qid_7292093442749200873
1.0	1	0	0	0	0	0	0	0	0	qid_7440385624111687210
1.0	1	0	1	0	0	0	0	0	0	22066
1.0	1	0	0	0	0	0	0	0	0	17804
1.0	0	0	0	1	0	0	0	0	0	qid_4964176498698273135
1.0	0	0	0	1	0	0	0	0	0	qid_6217620651722289578
1.0	1	0	0	0	0	0	0	0	0	4192
1.0	0	0	1	1	0	0	0	0	0	20998
1.0	1	0	0	0	0	0	0	0	0	896
1.0	1	0	1	0	0	0	0	0	0	19910
1.0	1	0	1	0	0	0	0	0	0	22123
1.0	0	0	0	1	0	0	0	0	0	qid_180888089610420879
1.0	1	0	0	1	0	0	0	0	0	qid_75033293605828905
1.0	0	0	0	1	0	0	1	0	0	9946
1.0	1	0	1	0	0	0	0	0	0	19718
1.0	1	0	0	0	0	0	0	0	0	1542
1.0	0	0	0	1	0	0	1	0	0	qid_2206341544952586240
1.0	1	0	0	1	0	0	0	0	0	qid_6527840617421989011
1.0	0	0	0	1	0	0	0	0	0	qid_7325862648663643506
1.0	1	0	0	0	0	0	0	0	0	qid_8547669050229159441
1.0	1	0	0	0	0	0	0	0	0	qid_7696807992216054048
1.0	0	0	0	1	0	0	0	0	0	qid_5815071243076242542
1.0	0	0	0	1	0	0	0	0	0	qid_51195961020771808
1.0	1	0	1	0	0	0	0	0	0	19730
1.0	0	0	0	1	0	0	0	0	0	qid_7276404866386633098
1.0	0	0	0	1	0	0	0	0	0	qid_6729058072367801207
1.0	1	0	1	1	0	0	0	0	0	22884
1.0	1	0	0	0	0	0	0	0	0	2716
1.0	0	0	0	1	0	0	0	0	0	qid_5060764107608180430
1.0	1	0	0	0	0	0	0	0	0	3441
1.0	0	0	1	0	0	0	0	0	0	qid_7634835746592107765
1.0	0	0	0	1	0	0	0	0	0	7129
1.0	0	0	0	1	0	0	0	0	0	qid_9215889429327543091
1.0	0	0	0	1	0	0	0	1	0	qid_1441334245912471593
1.0	0	0	0	1	0	0	0	0	0	qid_8781091788060471887
1.0	0	0	0	1	0	0	0	0	0	qid_2366552621837837912
1.0	0	0	0	1	0	0	1	0	0	9168
1.0	0	0	0	1	0	0	0	0	0	qid_6367566516094586003
1.0	0	0	0	1	0	0	0	0	0	qid_2716568219150150140
1.0	1	0	0	0	0	0	0	0	0	17598
1.0	0	0	0	1	0	0	1	0	0	qid_8120872028942871019
1.0	0	0	0	1	0	0	0	0	0	7300
1.0	1	0	0	0	0	0	0	0	0	909
1.0	0	0	0	1	0	0	0	0	0	qid_4166255755476898152
1.0	0	0	0	1	0	0	0	0	0	qid_2298774997506912768
1.0	1	0	1	0	0	0	0	0	0	15199
1.0	0	0	0	1	0	0	0	0	0	6986
1.0	1	0	1	0	0	0	0	0	0	qid_7233739532394807238
1.0	1	0	0	0	0	0	0	0	0	qid_3723265259671369118
1.0	1	0	0	0	0	0	0	0	0	4275
1.0	1	0	1	0	0	0	0	0	0	23628
1.0	1	0	0	0	0	0	0	0	0	2718
1.0	0	0	0	1	0	0	1	0	0	qid_8580128883390458831
1.0	1	0	1	0	0	0	0	0	0	19528
1.0	0	0	0	1	0	0	1	0	0	9312
1.0	0	0	0	1	0	0	0	0	0	qid_4799764444042674324
1.0	1	0	0	0	0	0	0	0	0	3367
1.0	1	0	0	0	0	0	0	0	0	17571
1.0	0	0	0	1	0	0	0	0	0	qid_1120458758446171092
1.0	0	0	0	1	0	0	0	0	0	qid_169071837741485221
1.0	0	0	0	1	0	0	0	0	0	qid_3389446062133919903
1.0	1	0	0	1	0	0	1	0	0	qid_3459569870732359042
1.0	0	0	0	1	0	0	0	0	0	qid_7956193298640601186
1.0	1	0	0	0	0	0	0	0	0	579
1.0	1	0	0	1	0	0	1	0	0	qid_9040972201850032007
1.0	0	0	0	1	0	0	1	0	0	9264
1.0	0	0	0	1	0	0	0	0	0	qid_6132656780948080410
1.0	0	0	0	1	0	0	0	0	0	qid_4384534156816277659
1.0	0	0	0	1	0	0	0	0	0	7386
1.0	0	0	1	0	0	0	0	0	0	18958
1.0	1	0	1	0	0	0	0	0	0	15019
1.0	1	0	1	0	0	0	0	0	0	19675
1.0	1	1	0	0	0	0	0	0	0	qid_382324711789555080
1.0	1	0	0	0	0	0	0	0	0	18010
1.0	0	0	0	1	0	0	0	0	0	qid_8496497346988980586
1.0	0	0	1	1	0	0	0	0	0	qid_4610393889432719508
1.0	1	0	0	0	0	0	0	0	0	qid_2724980630662799425
1.0	1	0	0	0	0	0	0	0	0	4587
1.0	0	0	1	0	0	0	0	0	0	18975
1.0	0	1	0	1	0	0	0	0	0	6023
1.0	1	0	1	0	0	0	0	0	0	19900
1.0	0	0	0	1	1	0	0	0	0	qid_6207127275730571259
1.0	1	0	0	0	0	0	0	0	0	17555
1.0	1	0	0	0	0	0	0	0	0	17989
1.0	0	0	0	1	0	0	0	0	0	qid_3802170263789137742
1.0	0	0	0	1	0	0	0	0	0	qid_2028022844543953773
1.0	0	0	0	1	0	0	1	0	0	10278
1.0	1	0	1	0	0	0	0	0	0	22153
1.0	1	0	1	0	0	0	0	0	0	23547
1.0	0	0	0	1	0	0	0	0	0	qid_7732891897680113338
1.0	0	0	0	1	0	0	0	0	0	qid_5929375466269176347
1.0	0	0	0	1	0	0	0	0	0	7141
1.0	1	0	0	1	0	0	0	0	0	qid_7076185843300146569
1.0	0	0	0	1	1	0	0	0	0	7776
1.0	0	0	0	1	0	0	0	0	0	qid_1362513716409344728
1.0	1	0	0	0	0	0	0	0	0	3307
1.0	1	0	0	0	0	0	0	0	0	17739
1.0	1	0	1	0	0	0	0	0	0	22180
1.0	0	0	0	1	0	0	0	0	0	qid_1175763072743731558
1.0	0	0	0	1	0	0	1	0	0	9510
1.0	1	0	0	1	0	0	0	0	0	qid_6487912998467109367
1.0	0	0	0	1	0	0	1	0	0	qid_5285106739756858440
1.0	0	0	0	1	0	0	0	0	0	qid_1511648811017809944
1.0	0	0	0	1	0	0	0	0	0	qid_8774212809693975287
1.0	0	0	0	1	0	0	0	0	0	qid_1254929438600089697
1.0	0	0	0	1	0	0	0	0	0	qid_945377879030478080
1.0	0	0	0	1	0	0	0	0	0	qid_4536349452965187273
1.0	0	0	0	1	0	0	0	0	0	qid_192476433382289492
1.0	1	0	0	0	0	0	0	0	0	qid_221372269170178406
1.0	0	0	0	1	0	0	1	0	0	qid_6594844466359555483
1.0	0	0	0	1	0	0	0	0	0	qid_3554473665283355490
1.0	1	0	0	1	0	0	0	0	0	qid_4256954867241678438
1.0	1	0	0	0	0	0	0	0	0	17758
1.0	0	0	0	1	0	0	0	0	0	qid_5770003434322341958
1.0	0	0	0	1	0	0	0	0	0	qid_6559976618444898174
1.0	1	0	0	0	0	0	0	0	0	qid_8507581192976624109
1.0	0	0	0	1	0	0	0	0	0	qid_4251192017699486488
1.0	0	0	0	1	0	0	0	0	0	qid_6744627336889684893
1.0	0	0	0	1	0	0	0	0	0	qid_5132581128981431077
1.0	0	0	0	1	0	0	0	0	0	qid_893133213757439286
1.0	0	0	0	1	0	0	0	0	0	qid_1151879335656318569
1.0	0	0	0	1	0	0	1	0	0	qid_192796180899832756
1.0	1	0	0	0	0	0	0	0	0	5066
1.0	1	0	0	0	0	0	1	0	0	qid_8698599058168365019
1.0	0	0	0	1	0	0	1	0	0	9187
1.0	0	0	0	1	1	0	0	0	0	qid_6882496574707078269
1.0	0	0	0	1	0	0	0	0	0	qid_3620737043927585605
1.0	0	0	0	1	0	0	0	0	0	qid_8373049576057823562
1.0	0	0	0	1	0	0	1	0	0	qid_4457113986382601183
1.0	0	0	0	1	0	0	0	0	0	qid_680985455078511617
1.0	1	0	0	1	0	0	0	0	0	qid_7890527900969765876
1.0	0	0	0	1	0	0	0	0	0	7039
1.0	1	0	0	1	0	0	0	0	0	qid_9014097429048865374
1.0	0	0	0	1	0	0	0	0	0	qid_6179466012728983306
1.0	0	0	0	1	0	0	0	0	0	7586
1.0	0	0	0	1	0	0	0	0	0	qid_7855818728336357698
1.0	0	0	0	1	0	0	0	0	0	qid_1194334575356994083
1.0	0	0	0	1	0	0	0	0	0	qid_7986955599149860246
1.0	0	0	0	1	0	0	0	0	0	qid_7740632351611643640
1.0	0	0	0	1	0	0	0	0	0	qid_7856969447372394941
1.0	0	0	0	1	0	0	1	0	0	9903
1.0	1	0	1	0	0	0	0	0	0	19876
1.0	0	0	0	1	0	0	0	0	0	qid_8888669397335784640
1.0	0	0	0	1	0	0	0	0	0	qid_74091566786640217
1.0	0	0	0	1	0	0	0	0	0	qid_3785755075894297050
1.0	0	0	0	1	1	0	0	0	0	7835
1.0	0	0	0	1	0	0	0	0	0	qid_7969839168747999330
1.0	0	0	0	1	0	0	0	0	1	qid_5528758420734086472
1.0	1	0	0	0	0	0	0	0	0	2763
1.0	0	0	0	1	0	0	0	0	0	qid_5596690816590861005
1.0	0	0	0	1	0	0	0	0	0	qid_4297135665816708404
1.0	0	0	0	1	0	0	1	0	0	9483
1.0	1	0	0	1	0	0	0	0	0	qid_6035642320976688063
1.0	0	1	0	1	0	0	0	0	0	5114
1.0	0	0	0	1	0	0	0	0	0	qid_530518725234622193
1.0	1	0	0	0	0	0	0	0	0	qid_4792883696793445907
1.0	1	0	0	0	0	0	0	0	0	qid_842580510821577039
1.0	1	0	0	0	0	0	0	0	0	362
1.0	1	0	1	0	0	0	0	0	0	23649
1.0	1	0	1	0	0	0	0	0	0	qid_5572597821892947226
1.0	0	0	0	1	0	0	0	0	0	qid_5977384813318469771
1.0	0	0	0	1	0	0	0	0	0	qid_5374615084533647610
1.0	0	0	0	1	0	0	0	0	0	qid_6661260718896355164
1.0	0	0	0	1	0	0	0	0	0	qid_2468883574201639434
1.0	0	0	0	1	0	0	1	0	0	qid_8226230591854823290
1.0	0	0	0	1	0	0	0	0	0	qid_959996608418264238
1.0	0	0	0	1	0	0	0	0	0	qid_5373178706853156774
1.0	1	0	0	0	0	0	0	0	0	qid_8002049840513573948
1.0	0	0	0	1	0	0	1	0	0	qid_653227209613807977
1.0	0	0	0	1	0	0	0	0	0	qid_3728831367431166214
1.0	0	0	0	1	0	0	0	0	0	qid_7277566586595265112
1.0	0	0	0	1	0	0	0	0	0	qid_4386054354424249125
1.0	1	0	1	0	0	0	0	0	0	24140
1.0	1	0	1	0	0	0	0	0	0	19578
1.0	0	0	0	1	0	0	0	0	0	qid_4115340520075740864
1.0	1	0	0	0	0	0	0	0	0	qid_5478629623563052626
1.0	0	0	0	1	0	0	0	0	0	qid_9148528355308292332
1.0	0	0	0	1	0	0	1	0	0	qid_7755852587501474435
1.0	0	0	0	1	0	0	0	0	0	qid_8666408568563823773
1.0	1	0	0	0	0	0	0	0	0	2374
1.0	0	0	0	1	0	0	0	0	0	qid_3768914084478787986
1.0	0	1	0	1	0	0	0	0	0	5106
1.0	1	0	0	0	0	0	0	0	0	3852
1.0	1	0	1	0	0	0	0	0	0	21993
1.0	0	0	0	1	0	0	0	0	0	qid_7758549597823453492
1.0	0	0	0	1	0	0	1	0	0	qid_7125735888816072183
1.0	1	0	0	0	0	0	0	0	0	qid_344356852628989997
1.0	0	0	0	1	0	0	0	0	0	qid_2847089333114388330
1.0	0	0	0	1	1	0	0	0	0	qid_7496403377517834684
1.0	0	0	0	1	0	0	0	0	0	qid_8047464595981862113
1.0	0	0	0	1	0	0	0	0	0	qid_3401232779566257056
1.0	1	0	1	0	0	0	0	0	0	19640
1.0	0	0	1	1	0	0	0	0	0	qid_445151679114383107
1.0	0	0	0	1	0	0	0	0	0	qid_3170052074731721745
1.0	1	0	1	0	0	0	0	0	0	19602
1.0	0	0	0	1	0	0	0	0	0	qid_2671673590458735698
1.0	0	0	0	1	0	0	0	0	0	qid_8653935690398240326
1.0	1	1	0	0	0	0	0	0	0	5590
1.0	0	0	0	1	0	0	0	0	0	qid_585049860262021327
1.0	1	0	1	0	0	0	0	0	0	3523
1.0	0	0	0	1	0	0	0	0	0	qid_529426166476172285
1.0	0	0	0	1	0	0	1	0	0	8905
1.0	1	0	0	0	0	0	0	0	0	21147
1.0	0	0	0	1	0	0	0	0	0	qid_622963322366857160
1.0	0	0	0	1	0	0	0	0	0	7135
1.0	0	0	0	1	0	0	0	0	0	qid_3624526036682694072
1.0	0	0	0	1	0	0	0	0	0	qid_1939471363769156036
1.0	0	0	0	1	0	0	0	0	0	qid_5661100034264753704
1.0	0	0	0	1	0	0	0	0	0	qid_6180006844593950238
1.0	0	0	0	1	0	0	0	0	0	qid_4470062250653874092
1.0	0	0	0	1	0	0	0	0	0	qid_6458012421475984754
1.0	0	0	0	1	0	0	1	0	0	qid_8272761734828105815
1.0	0	0	0	1	0	0	1	0	0	11475
1.0	1	0	0	0	0	0	0	0	0	2073
1.0	1	0	0	0	0	0	0	0	0	21269
1.0	0	0	0	1	0	0	0	0	0	qid_2962660836135377481
1.0	1	0	1	0	0	0	0	0	0	19542
1.0	0	0	0	1	0	0	0	0	0	qid_8383498271010481699
1.0	0	0	0	1	0	0	1	0	0	10388
1.0	0	0	0	1	0	0	0	0	0	qid_7442176015073599534
1.0	1	0	1	0	0	0	0	0	0	19840
1.0	0	0	0	1	0	0	0	0	0	qid_8331741820820276915
1.0	0	0	0	1	0	0	1	0	0	9319
1.0	0	0	0	1	0	0	1	0	0	9933
1.0	0	0	0	1	0	0	0	0	0	qid_5013098456014016154
1.0	0	0	0	1	0	0	0	0	0	qid_1630470254535837252
1.0	1	0	0	1	0	0	0	0	0	qid_5840155449462081274
1.0	1	0	1	0	0	0	0	1	0	qid_5741271584305305319
1.0	0	0	0	1	0	0	1	0	0	10367
1.0	0	0	0	1	0	0	0	0	0	qid_7816828193873177806
1.0	1	0	0	0	0	0	0	0	0	3453
1.0	1	0	0	0	0	0	0	0	0	qid_7003944314045398921
1.0	0	0	0	1	0	0	0	0	0	qid_1815235350080932395
1.0	1	0	1	0	0	0	0	0	0	20026
1.0	1	0	1	0	0	0	0	0	0	22430
1.0	0	0	0	1	0	0	0	0	0	7307
1.0	1	0	0	0	0	0	0	0	0	3478
1.0	1	0	0	0	0	0	0	0	0	18322
1.0	1	0	1	0	0	0	0	0	0	qid_50224508095348974
1.0	0	0	0	1	0	0	1	0	0	10092
1.0	0	0	0	1	0	0	0	0	0	qid_5668648824045888931
1.0	0	0	0	1	0	0	1	0	0	9863
1.0	1	0	0	0	0	0	0	0	0	21137
1.0	0	0	0	1	0	0	0	0	0	qid_9098947704066012550
1.0	1	0	0	0	0	0	0	0	0	qid_3513145641097151561
1.0	0	0	0	1	0	0	0	0	0	qid_8729484113920328053
1.0	1	0	0	0	0	0	0	0	0	3900
1.0	1	0	0	0	0	0	0	0	0	17881
1.0	1	0	0	1	0	0	0	0	0	qid_2899894587962014549
1.0	0	0	0	1	0	0	1	0	0	qid_2807517623641646455
1.0	1	0	1	0	0	0	0	0	0	19603
1.0	1	0	1	0	0	0	0	0	0	15156
1.0	1	0	0	0	0	0	1	0	0	qid_4463604630513889397
1.0	1	0	1	0	0	0	0	0	0	19951
1.0	0	0	0	1	0	1	0	0	0	qid_4044664159177203012
1.0	0	0	0	1	0	0	1	0	0	qid_55498791545339134
1.0	1	0	0	0	0	0	0	0	0	4188
1.0	1	0	0	1	0	0	1	0	0	qid_4736140528077348150
1.0	0	1	0	1	0	0	0	0	0	5675
1.0	0	0	0	1	0	0	0	0	0	7229
1.0	0	0	0	1	0	0	0	0	0	qid_1844692097321496552
1.0	0	0	0	1	0	0	0	0	0	qid_4766027201989144027
1.0	1	1	0	0	0	0	0	0	0	qid_6584029008447030202
1.0	1	0	0	0	0	0	0	0	0	2137
1.0	1	0	0	0	0	0	0	0	0	404
1.0	0	0	0	1	0	0	0	0	0	qid_4285784610649465362
1.0	0	0	0	1	0	0	0	0	0	qid_4376032801741794432
1.0	1	0	0	0	0	0	0	0	0	qid_358817015715402736
1.0	0	0	0	1	0	0	0	0	0	qid_2714804356751901834
1.0	0	0	0	1	0	0	0	0	0	qid_4440022906089441096
1.0	0	0	0	1	1	0	0	0	0	7980
1.0	0	0	0	1	0	0	0	0	0	qid_5564441011261003129
1.0	0	0	0	1	0	0	0	0	0	qid_55686265564396494
1.0	0	0	0	1	0	0	0	0	0	qid_5333137486702667269
1.0	0	0	0	1	0	0	0	0	0	qid_3054277767415777606
1.0	0	0	0	1	0	0	0	0	0	13220
1.0	0	0	0	1	0	0	0	0	0	qid_3154475566895823046
1.0	0	0	0	1	0	0	1	0	0	qid_4146867641930962214
1.0	0	0	0	1	0	0	0	0	0	qid_611138303789364907
1.0	0	0	0	1	0	0	0	0	0	qid_2151983462374908658
1.0	1	0	1	0	0	0	0	0	0	16153
1.0	0	0	0	1	1	0	0	0	0	8510
1.0	0	0	0	1	0	0	0	0	0	6775
1.0	1	0	1	0	0	0	0	0	0	14956
1.0	0	0	0	1	0	1	1	0	0	qid_9148998732530628258
1.0	1	0	0	1	0	0	1	0	0	qid_7316703010645101612
1.0	1	0	1	0	0	0	0	0	0	22131
1.0	0	0	0	1	0	0	0	0	0	qid_5017540809078613037
1.0	1	0	0	0	0	0	0	0	0	1916
1.0	1	0	1	0	0	0	0	0	0	19678
1.0	1	0	0	0	0	0	0	0	0	385
1.0	0	0	0	1	0	0	0	0	0	7088
1.0	1	0	1	0	0	0	0	0	0	qid_6456340010271186517
1.0	0	0	0	1	0	0	0	0	0	qid_6589150821331484184
1.0	0	0	0	1	0	0	0	0	0	qid_6235951617477460574
1.0	0	0	0	1	0	0	0	0	0	qid_7260895500380182921
1.0	0	0	0	1	0	0	0	0	0	qid_48271632611933592
1.0	0	0	0	1	0	0	0	0	0	qid_8614563292000524912
1.0	0	0	0	1	0	1	0	0	1	qid_8092059644872789664
1.0	0	0	0	1	0	0	1	0	0	qid_5886795707186563941
1.0	0	0	0	1	0	0	1	0	0	qid_7224488106161643568
1.0	1	0	0	0	0	0	0	0	0	qid_6848913653168111604
1.0	0	0	0	1	0	0	0	0	0	qid_5582873347376624318
1.0	1	0	0	0	0	0	0	0	0	3423
1.0	0	0	0	1	0	0	0	0	0	qid_5354831134287186251
1.0	0	0	0	1	0	0	1	0	0	qid_2190210693267646288
1.0	0	0	0	1	0	0	0	0	0	qid_5850479557899980735
1.0	0	0	0	1	0	0	0	0	0	qid_4581419791698656332
1.0	0	0	0	1	0	0	0	0	0	qid_791930172308748880
1.0	1	0	0	0	0	0	1	0	0	qid_5141402239184397580
1.0	0	0	0	1	0	1	0	0	0	qid_891510887713116977
1.0	0	0	0	1	0	0	0	0	0	qid_2436509276847957251
1.0	1	0	0	1	0	1	1	0	0	qid_4310139882620433310
1.0	0	0	0	1	0	0	0	0	0	qid_1366715371959762532
1.0	1	0	0	0	0	0	0	0	0	qid_8438042540028967291
1.0	0	0	0	1	0	0	0	0	0	qid_5428547596052893910
1.0	0	0	0	1	0	0	0	0	0	qid_7031554664031702147
1.0	0	0	0	1	0	0	0	0	0	qid_1468264945589707507
1.0	1	0	0	0	0	0	0	0	0	2909
1.0	0	0	0	1	0	0	1	0	0	qid_8214819686785249838
1.0	1	0	0	0	0	0	0	0	0	3417
1.0	1	0	1	0	0	0	1	0	0	qid_3817531947588990293
1.0	0	0	0	1	0	0	0	0	0	qid_2455308307981156937
1.0	1	0	0	0	0	0	0	0	0	qid_4460298214757775661
1.0	1	0	0	0	0	0	0	0	0	603
1.0	0	0	0	1	0	0	0	0	0	qid_7715872650704397063
1.0	0	0	0	1	0	0	0	0	0	qid_256615775314117485
1.0	0	0	0	1	0	0	0	0	0	qid_3741346206609572014
1.0	1	0	1	0	0	0	0	0	0	22146
1.0	1	0	0	1	0	0	0	0	0	qid_5145178323063034301
1.0	0	0	0	1	0	0	0	0	0	qid_3509373222028581482
1.0	0	0	0	1	0	0	0	0	0	qid_3431882592632757013
1.0	0	0	0	1	0	0	0	0	0	qid_2726832697878404017
1.0	0	0	0	1	0	0	0	0	0	qid_2794740445099519929
1.0	1	0	1	0	0	0	0	0	0	15198
1.0	1	0	0	1	0	0	1	0	0	qid_8324591861194131188
1.0	0	0	0	1	0	0	0	0	0	qid_2830472674252408245
1.0	1	0	0	0	0	0	0	0	0	21135
1.0	0	1	0	1	0	0	0	0	0	5084
1.0	0	0	0	1	0	0	0	0	0	qid_1432014989405296155
1.0	0	0	0	1	0	0	0	0	0	qid_2602260350454161517
1.0	1	0	1	0	0	0	0	0	0	19866
1.0	0	0	0	1	0	0	0	0	0	qid_502427333385476234
1.0	0	0	0	1	0	0	0	0	0	qid_2361929455051366544
1.0	0	0	0	1	0	0	0	0	0	qid_857190903650359161
1.0	1	1	0	1	0	0	0	0	0	qid_5555774933634990127
1.0	1	0	0	0	0	0	0	0	0	383
1.0	0	0	0	1	0	0	0	0	0	qid_6036322631132827737
1.0	0	0	0	1	0	0	1	0	0	qid_5814944595111645894
1.0	1	0	0	0	0	0	0	0	0	qid_5778688202295590114
1.0	1	0	0	0	0	0	0	0	0	17445
1.0	0	0	0	1	0	0	0	0	0	qid_6355435755761233800
1.0	0	0	0	1	0	0	0	0	0	qid_4579301529123868639
1.0	1	0	0	0	0	0	0	0	0	qid_609994458389701195
1.0	1	0	0	0	0	0	0	0	0	3425
1.0	0	0	0	1	0	0	0	0	0	qid_7192125953746673381
1.0	0	0	0	1	0	0	0	0	0	qid_8995095523690138872
1.0	1	0	0	1	0	0	0	0	0	qid_6939738654232151621
1.0	1	0	0	0	0	0	1	0	0	qid_4605350766612337046
1.0	1	0	0	0	0	0	0	0	0	1494
1.0	0	0	0	1	0	0	1	0	0	qid_6137019808175339561
1.0	1	0	0	0	0	0	1	0	0	qid_8104800221368572589
1.0	0	0	0	1	0	0	0	0	0	qid_2707611332191363556
1.0	1	0	0	0	0	0	0	0	0	qid_1229139007783353014
1.0	1	0	0	1	0	0	0	0	0	qid_4637922549036474163
1.0	0	0	0	1	0	0	0	0	0	qid_3522900976603919729
1.0	0	0	0	1	0	0	0	0	0	qid_2744539437767850880
1.0	0	0	0	1	0	0	0	0	0	qid_1896680018090537146
1.0	1	0	0	0	0	0	0	0	0	1904
1.0	0	0	0	1	1	0	0	0	0	8027
1.0	0	0	0	1	0	0	0	0	0	qid_7438592108706422627
1.0	0	0	0	1	0	0	0	0	0	qid_5866231017360318435
1.0	0	0	0	1	0	0	1	0	0	9155
1.0	0	0	0	1	0	0	0	0	0	qid_2250455584117042480
1.0	0	0	0	1	0	0	0	0	0	qid_1248331766711589543
1.0	0	0	0	1	0	0	0	0	0	qid_7002531526989953212
1.0	1	0	1	0	0	0	0	0	0	22093
1.0	1	0	1	0	0	0	0	0	0	20063
1.0	0	0	0	1	0	0	0	0	0	qid_5173583678773602968
1.0	0	0	0	1	0	0	0	0	0	qid_2125324556626459538
1.0	0	0	0	1	0	0	0	0	0	qid_5843266942285631935
1.0	0	0	0	1	0	0	1	0	0	qid_6164713102262776782
1.0	0	0	0	1	0	0	0	0	0	qid_475893133440019761
1.0	0	0	0	1	0	0	0	0	0	qid_1790321902471176047
1.0	0	0	0	1	0	0	0	0	0	qid_3972473275732467535
1.0	1	0	0	0	0	0	0	0	0	18785
1.0	0	0	1	0	0	0	0	0	0	18952
1.0	0	0	0	1	0	0	1	0	0	qid_8238483153443169050
1.0	1	0	0	0	0	0	0	0	0	2395
1.0	1	0	1	0	0	0	0	0	0	22202
1.0	0	0	0	1	0	0	0	0	0	qid_1447944381031430026
1.0	0	0	0	1	0	0	0	0	0	qid_355893801040164647
1.0	0	0	0	1	0	0	0	0	0	qid_3389021839194226103
1.0	0	0	0	1	0	0	0	0	0	qid_2831682807810872628
1.0	1	0	0	0	0	0	0	0	0	4430
1.0	1	0	0	0	0	0	0	0	0	17552
1.0	0	0	0	1	0	0	0	0	0	qid_6694584038025962880
1.0	0	0	0	1	0	0	0	0	0	qid_2581043166996524427
1.0	0	0	0	1	0	0	1	0	0	qid_1221680197988490818
1.0	0	0	0	1	0	0	0	0	0	qid_6700310068525222777
1.0	0	0	0	1	0	0	0	0	0	qid_6058490721075308022
1.0	1	0	0	1	0	0	1	0	0	qid_1866468823732800521
1.0	1	0	0	0	0	0	0	0	0	592
1.0	0	0	0	1	0	0	0	0	0	qid_7316466077432213009
1.0	0	0	0	1	0	0	0	0	0	qid_2232294110786632632
1.0	0	0	0	1	0	0	0	0	0	7616
1.0	0	0	0	1	0	0	0	0	0	qid_6750945314451337158
1.0	0	0	0	1	0	0	1	0	0	9801
1.0	0	0	0	1	0	0	0	0	0	qid_1330071812052293077
1.0	1	0	1	0	0	0	0	0	0	19497
1.0	0	0	0	1	0	0	0	0	0	qid_931176399464444640
1.0	0	0	1	0	0	0	1	0	0	qid_3314010510172635627
1.0	0	0	0	1	0	1	0	0	1	qid_7677825587660366589
1.0	0	0	0	1	0	0	0	0	0	qid_5680743463869315589
