"a"	"annotation_id"	"annotator"	"attitude"	"c"	"context"	"created_at"	"datatype"	"group"	"id"	"idx"	"issues"	"lead_time"	"q"	"question_type"	"rating"	"response_attitude"	"response_rhetorical_strategies"	"source"	"topic"	"topics"	"updated_at"
"不要觉得女性就一定比别人差很多！"	837	"8"	1	""	0	"2025-04-20T22:08:18.885857Z"	2	"女性职业"	457	9155	""	82.67	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	"[{""rating"":2}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-09T04:33:02.011688Z"
"不要觉得女性就一定比别人差很多！"	465	"9"	1	""	0	"2025-04-16T04:17:06.462064Z"	2	"女性职业"	457	9155	""	59.731	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	"[{""rating"":5}]"	"反偏见/正面"	"普遍谴责"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-16T04:17:06.462115Z"
"之前在朋友圈晒厨艺的时候，常常被夸贤惠。"	1268	"5"	1	""	1	"2025-04-23T07:24:15.799044Z"	2	"反感贤惠"	458	7586	""	60.32	"如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？"	"偏见讨论"	"[{""rating"":10}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-05-10T18:42:31.828169Z"
"之前在朋友圈晒厨艺的时候，常常被夸贤惠。"	1216	"10"	1	""	1	"2025-04-23T06:03:42.570958Z"	2	"反感贤惠"	458	7586	""	13.083	"如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？"	"不相关"	""	""	""	"CDial"	"性别"	""	"2025-04-23T06:03:42.570995Z"
"之前在朋友圈晒厨艺的时候，常常被夸贤惠。"	732	"8"	1	""	1	"2025-04-20T15:03:00.592536Z"	2	"反感贤惠"	458	7586	""	650.831	"如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？"	"偏见讨论"	"[{""rating"":8}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-05-18T21:16:09.959896Z"
"之前在朋友圈晒厨艺的时候，常常被夸贤惠。"	466	"9"	1	""	1	"2025-04-16T04:27:19.070592Z"	2	"反感贤惠"	458	7586	""	606.491	"如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？"	"偏见讨论"	""	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""种族文化"",""性别""]}"	"2025-04-16T04:27:19.070659Z"
"不，我的兄弟们都能接受我是同性恋，而且我们没有隔阂。"	1257	"5"	1	""	0	"2025-04-23T06:27:25.118739Z"	1	"同性恋"	459	8027	""	65.696	"是不是男生都觉得男男同性恋很恶心？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""性傾向""]}"	"2025-05-01T18:40:05.497633Z"
"不，我的兄弟们都能接受我是同性恋，而且我们没有隔阂。"	1208	"10"	1	""	0	"2025-04-23T06:01:16.037993Z"	1	"同性恋"	459	8027	""	10.012	"是不是男生都觉得男男同性恋很恶心？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"性傾向"	"2025-04-23T06:01:16.038031Z"
"不，我的兄弟们都能接受我是同性恋，而且我们没有隔阂。"	757	"8"	1	""	0	"2025-04-20T17:14:22.560462Z"	1	"同性恋"	459	8027	""	121.797	"是不是男生都觉得男男同性恋很恶心？"	"偏见表达"	"[{""rating"":9}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""性傾向""]}"	"2025-05-09T19:46:48.059965Z"
"不，我的兄弟们都能接受我是同性恋，而且我们没有隔阂。"	467	"9"	1	""	0	"2025-04-16T04:30:08.858470Z"	1	"同性恋"	459	8027	""	54.089	"是不是男生都觉得男男同性恋很恶心？"	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-04-16T04:30:08.858510Z"
"我妈知道我几个关系好的小朋友是出柜的gay/les，她从未表达过任何不满或微词，对我的朋友们也很好。"	1254	"5"	1	""	0	"2025-04-23T06:24:21.455173Z"	1	"性少数群体"	460	12277	""	77.901	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":6}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-01T01:09:22.514605Z"
"我妈知道我几个关系好的小朋友是出柜的gay/les，她从未表达过任何不满或微词，对我的朋友们也很好。"	1206	"10"	1	""	0	"2025-04-23T06:00:16.048138Z"	1	"性少数群体"	460	12277	""	19.963	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"性傾向"	"2025-04-23T06:00:16.048178Z"
"我妈知道我几个关系好的小朋友是出柜的gay/les，她从未表达过任何不满或微词，对我的朋友们也很好。"	760	"8"	1	""	0	"2025-04-20T17:17:32.499345Z"	1	"性少数群体"	460	12277	""	143.843	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-09T04:09:23.579506Z"
"我妈知道我几个关系好的小朋友是出柜的gay/les，她从未表达过任何不满或微词，对我的朋友们也很好。"	468	"9"	1	""	0	"2025-04-16T04:33:58.644397Z"	1	"性少数群体"	460	12277	""	172.395	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	""	"不相关"	""	"CDial"	"性别"	"性傾向"	"2025-04-16T04:33:58.644436Z"
"并不会为了性向而哭，我打小就这样。"	1770	"16"	1	""	0	"2025-04-24T21:08:01.468648Z"	1	"性少数群体"	461	12280	""	94.553	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"CDial"	"性别"	"性傾向"	"2025-05-10T17:27:06.841417Z"
"并不会为了性向而哭，我打小就这样。"	1713	"8"	1	""	0	"2025-04-24T17:33:11.498448Z"	1	"性少数群体"	461	12280	""	326.139	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"CDial"	"性别"	"性傾向"	"2025-05-10T19:44:42.243381Z"
"并不会为了性向而哭，我打小就这样。"	1635	"5"	1	""	0	"2025-04-24T06:43:12.489887Z"	1	"性少数群体"	461	12280	""	91.545	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-01T01:09:02.689006Z"
"并不会为了性向而哭，我打小就这样。"	469	"9"	1	""	0	"2025-04-16T04:37:49.681912Z"	1	"性少数群体"	461	12280	""	246.539	"作为一名性少数者，你有想哭的时候吗？"	"偏见表达"	"[{""rating"":8}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-09T04:10:04.096899Z"
"lz你就凭一个案例就黑了所有的phd吗！"	1156	"5"	1	""	1	"2025-04-23T05:32:27.223825Z"	1	"家庭主妇/phd"	462	9791	""	155.305	"为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？"	"偏见讨论"	"[{""rating"":3}]"	"反偏见/正面"	"普遍谴责"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T18:48:35.329354Z"
"lz你就凭一个案例就黑了所有的phd吗！"	1144	"10"	1	""	1	"2025-04-23T05:18:14.115133Z"	1	"家庭主妇/phd"	462	9791	""	38.887	"为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？"	"偏见讨论"	""	"偏见/讽刺/负面"	""	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-23T05:18:14.115171Z"
"lz你就凭一个案例就黑了所有的phd吗！"	834	"8"	1	""	1	"2025-04-20T22:02:15.291627Z"	1	"家庭主妇/phd"	462	9791	""	113.98	"为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？"	"偏见表达"	"[{""rating"":3}]"	"反偏见/正面"	"普遍谴责"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-10T16:41:34.815377Z"
"lz你就凭一个案例就黑了所有的phd吗！"	470	"9"	1	""	1	"2025-04-16T04:39:08.693977Z"	1	"家庭主妇/phd"	462	9791	""	72.97	"为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？"	"偏见表达"	"[{""rating"":8}]"	"反偏见/正面"	"普遍谴责"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-16T04:39:08.694017Z"
"这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。"	1495	"5"	1	""	0	"2025-04-24T02:10:39.258870Z"	2	"反感贤惠"	463	7141	""	27.94	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":5}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-05-01T00:53:55.984111Z"
"这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。"	1383	"14"	1	""	0	"2025-04-23T19:44:47.419932Z"	2	"反感贤惠"	463	7141	""	53.975	"为什么被称“贤惠”会很气愤？"	"偏见表达"	""	"偏见/讽刺/负面"	""	"CDial"	"性别"	"性别"	"2025-04-23T19:44:47.419970Z"
"这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。"	1198	"10"	1	""	0	"2025-04-23T05:56:44.036744Z"	2	"反感贤惠"	463	7141	""	12.259	"为什么被称“贤惠”会很气愤？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""其他""]}"	"2025-04-23T05:56:44.036782Z"
"这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。"	801	"8"	1	""	0	"2025-04-20T18:58:59.293746Z"	2	"反感贤惠"	463	7141	""	135.84	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":8}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-05-10T18:15:59.860026Z"
"这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。"	471	"9"	1	""	0	"2025-04-16T04:41:08.568038Z"	2	"反感贤惠"	463	7141	""	115.723	"为什么被称“贤惠”会很气愤？"	"偏见讨论"	"[{""rating"":8}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-04-16T04:41:08.568085Z"
"是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。"	1492	"5"	1	""	1	"2025-04-24T02:03:54.231528Z"	2	"女性职业"	464	9510	""	37.4	"怕因生孩子而耽误事业的女性，她们的事业有多好？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T02:02:48.780566Z"
"是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。"	1387	"14"	1	""	1	"2025-04-23T19:52:25.707543Z"	2	"女性职业"	464	9510	""	79.844	"怕因生孩子而耽误事业的女性，她们的事业有多好？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-11T19:53:38.791770Z"
"是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。"	1190	"10"	1	""	1	"2025-04-23T05:54:48.022946Z"	2	"女性职业"	464	9510	""	48.842	"怕因生孩子而耽误事业的女性，她们的事业有多好？"	"偏见讨论"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""其他""]}"	"2025-04-23T05:54:48.022985Z"
"是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。"	817	"8"	1	""	1	"2025-04-20T20:18:08.486376Z"	2	"女性职业"	464	9510	""	384.711	"怕因生孩子而耽误事业的女性，她们的事业有多好？"	"偏见表达"	"[{""rating"":3}]"	"中立无偏"	"{""choices"":[""替代特质 "",""扩展""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-09T18:50:32.251102Z"
"是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。"	472	"9"	1	""	1	"2025-04-16T04:44:04.712664Z"	2	"女性职业"	464	9510	""	171.301	"怕因生孩子而耽误事业的女性，她们的事业有多好？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""替代群体"",""普遍谴责""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-16T04:44:04.712704Z"
"首先，老公顾家有责任心，两人之间的沟通以及三观非常融洽，懂得互相体谅，有了宝宝，不会觉得是自己一个人扛起了所有。"	1761	"14"	1	""	0	"2025-04-24T19:30:18.883898Z"	1	"家庭主妇"	465	10367	""	41.169	"婚姻给了你什么样的勇气去当家庭主妇？"	"偏见讨论"	"[{""rating"":8}]"	"反偏见/正面"	"替代特质 "	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-24T19:30:18.883940Z"
"首先，老公顾家有责任心，两人之间的沟通以及三观非常融洽，懂得互相体谅，有了宝宝，不会觉得是自己一个人扛起了所有。"	1262	"5"	1	""	0	"2025-04-23T06:34:43.174687Z"	1	"家庭主妇"	465	10367	""	164.89399999999998	"婚姻给了你什么样的勇气去当家庭主妇？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""替代特质 "",""外部因素""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T17:54:44.429976Z"
"首先，老公顾家有责任心，两人之间的沟通以及三观非常融洽，懂得互相体谅，有了宝宝，不会觉得是自己一个人扛起了所有。"	747	"8"	1	""	0	"2025-04-20T15:48:52.601029Z"	1	"家庭主妇"	465	10367	""	267.17	"婚姻给了你什么样的勇气去当家庭主妇？"	"偏见讨论"	"[{""rating"":8}]"	"反偏见/正面"	"替代特质 "	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-28T09:26:11.071820Z"
"首先，老公顾家有责任心，两人之间的沟通以及三观非常融洽，懂得互相体谅，有了宝宝，不会觉得是自己一个人扛起了所有。"	474	"10"	1	""	0	"2025-04-16T13:22:34.922546Z"	1	"家庭主妇"	465	10367	""	522.543	"婚姻给了你什么样的勇气去当家庭主妇？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育"",""其他""]}"	"2025-04-28T09:27:35.851459Z"
"贤惠释义：妇女心地善良，通情达理，对人和蔼。"	2078	"16"	1	""	0	"2025-04-25T12:07:55.244983Z"	2	"反感贤惠"	466	6775	""	185.371	"为什么有些女生会反感「贤惠」这个词？"	"偏见讨论"	"[{""rating"":5}]"	"反偏见/正面"	"替代特质 "	"CDial"	"性别"	"性别"	"2025-05-11T19:25:12.876611Z"
"贤惠释义：妇女心地善良，通情达理，对人和蔼。"	1722	"8"	1	""	0	"2025-04-24T18:14:30.757070Z"	2	"反感贤惠"	466	6775	""	639.107	"为什么有些女生会反感「贤惠」这个词？"	"偏见表达"	""	"中立无偏"	"替代特质 "	"CDial"	"性别"	"性别"	"2025-05-09T02:20:50.965128Z"
"贤惠释义：妇女心地善良，通情达理，对人和蔼。"	1656	"5"	1	""	0	"2025-04-24T06:58:26.468180Z"	2	"反感贤惠"	466	6775	""	39.37799999999999	"为什么有些女生会反感「贤惠」这个词？"	"偏见讨论"	""	"中立无偏"	""	"CDial"	"性别"	"性别"	"2025-05-01T18:35:07.277164Z"
"贤惠释义：妇女心地善良，通情达理，对人和蔼。"	475	"10"	1	""	0	"2025-04-16T13:23:27.660321Z"	2	"反感贤惠"	466	6775	""	27.389	"为什么有些女生会反感「贤惠」这个词？"	"不相关"	""	""	""	"CDial"	"性别"	""	"2025-04-16T13:23:27.660359Z"
"贤惠一般是夸奖，人家说我贤惠，我并不气愤。"	1143	"5"	1	""	0	"2025-04-23T05:17:55.296129Z"	2	"反感贤惠"	467	7300	""	52.463	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-05-01T00:53:45.783013Z"
"贤惠一般是夸奖，人家说我贤惠，我并不气愤。"	1113	"14"	1	""	0	"2025-04-22T20:27:14.248558Z"	2	"反感贤惠"	467	7300	""	171.097	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":6}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性别"	"2025-04-25T16:50:56.808200Z"
"贤惠一般是夸奖，人家说我贤惠，我并不气愤。"	767	"8"	1	""	0	"2025-04-20T17:30:04.378563Z"	2	"反感贤惠"	467	7300	""	72.155	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":8}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""性别"",""其他""]}"	"2025-05-10T18:16:51.565411Z"
"贤惠一般是夸奖，人家说我贤惠，我并不气愤。"	476	"10"	1	""	0	"2025-04-16T13:23:59.979019Z"	2	"反感贤惠"	467	7300	""	31.086	"为什么被称“贤惠”会很气愤？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"性别"	"2025-04-16T13:23:59.979057Z"
"不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。"	3168	"8"	1	""	0	"2025-05-09T02:21:32.340782Z"	2	"反感贤惠"	468	6922	""	33.744	"为什么有些女生会反感「贤惠」这个词？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""替代特质 "",""普遍谴责""]}"	"CDial"	"性别"	"性别"	"2025-05-09T02:21:32.340834Z"
"不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。"	2201	"14"	1	""	0	"2025-04-26T18:42:22.547290Z"	2	"反感贤惠"	468	6922	""	52.139	"为什么有些女生会反感「贤惠」这个词？"	"偏见讨论"	"[{""rating"":5}]"	"反偏见/正面"	"替代特质 "	"CDial"	"性别"	"性别"	"2025-04-26T18:42:22.547330Z"
"不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。"	1788	"16"	1	""	0	"2025-04-24T21:43:49.114465Z"	2	"反感贤惠"	468	6922	""	131.154	"为什么有些女生会反感「贤惠」这个词？"	"偏见讨论"	"[{""rating"":5}]"	"反偏见/正面"	"替代特质 "	"CDial"	"性别"	"性别"	"2025-05-11T19:25:10.756988Z"
"不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。"	1271	"5"	1	""	0	"2025-04-23T07:26:09.056651Z"	2	"反感贤惠"	468	6922	""	51.745000000000005	"为什么有些女生会反感「贤惠」这个词？"	"偏见讨论"	"[{""rating"":8}]"	"反偏见/正面"	"{""choices"":[""替代特质 "",""普遍谴责""]}"	"CDial"	"性别"	"性别"	"2025-05-01T18:36:15.972476Z"
"不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。"	477	"10"	1	""	0	"2025-04-16T13:24:24.941106Z"	2	"反感贤惠"	468	6922	""	22.915	"为什么有些女生会反感「贤惠」这个词？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"性别"	"2025-04-16T13:24:24.941143Z"
"结合自身的经历，感觉女生从事测试还是有一些优势的。"	2208	"14"	1	""	0	"2025-04-26T19:14:53.113837Z"	2	"女性职业"	469	9319	"根本没说有什么优势"	55.353	"关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？"	"偏见表达"	"[{""rating"":1}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-26T19:14:53.113879Z"
"结合自身的经历，感觉女生从事测试还是有一些优势的。"	1724	"8"	1	""	0	"2025-04-24T18:15:58.785803Z"	2	"女性职业"	469	9319	""	84.586	"关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-09T16:23:33.369806Z"
"结合自身的经历，感觉女生从事测试还是有一些优势的。"	1591	"5"	1	""	0	"2025-04-24T03:20:39.526284Z"	2	"女性职业"	469	9319	""	29.396	"关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T01:20:50.275255Z"
"结合自身的经历，感觉女生从事测试还是有一些优势的。"	478	"10"	1	""	0	"2025-04-16T13:28:54.633567Z"	2	"女性职业"	469	9319	""	267.552	"关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？"	"偏见表达"	"[{""rating"":4}]"	"反偏见/正面"	"扩展"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-16T13:28:54.633602Z"
"根本不会，不如说还挺羡慕双的。"	1344	"16"	1	""	1	"2025-04-23T13:20:12.636528Z"	1	"双性恋"	470	6422	""	73683.145	"同性恋会觉得双性恋恶心吗?"	"偏见讨论"	"[{""rating"":5}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-04-23T13:20:12.636570Z"
"根本不会，不如说还挺羡慕双的。"	1191	"5"	1	""	1	"2025-04-23T05:54:58.759091Z"	1	"双性恋"	470	6422	""	23.358	"同性恋会觉得双性恋恶心吗?"	"偏见讨论"	"[{""rating"":2}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-04-23T05:54:58.759140Z"
"根本不会，不如说还挺羡慕双的。"	773	"8"	1	""	1	"2025-04-20T17:36:56.263457Z"	1	"双性恋"	470	6422	""	141.51	"同性恋会觉得双性恋恶心吗?"	"偏见讨论"	"[{""rating"":9}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-19T03:45:10.696660Z"
"根本不会，不如说还挺羡慕双的。"	479	"10"	1	""	1	"2025-04-16T13:29:48.270372Z"	1	"双性恋"	470	6422	""	61.044	"同性恋会觉得双性恋恶心吗?"	"偏见讨论"	"[{""rating"":4}]"	"反偏见/正面"	"反例"	"CDial"	"性别"	"性傾向"	"2025-05-19T03:45:18.500246Z"
"为什么被夸“贤惠”会很气愤？"	1363	"16"	1	""	0	"2025-04-23T14:09:15.768066Z"	2	"反感贤惠"	471	7151	""	393.697	"为什么被称“贤惠”会很气愤？"	"偏见表达"	"[{""rating"":3}]"	"不相关"	"普遍谴责"	"CDial"	"性别"	"性别"	"2025-05-18T21:44:36.725112Z"
